iter	Passed	Remaining
0	1	136
1	2	143
2	4	131
3	5	122
4	6	121
5	7	118
6	8	117
7	10	117
8	11	118
9	13	118
10	14	117
11	15	117
12	17	115
13	18	114
14	19	113
15	21	112
16	22	111
17	24	110
18	25	110
19	27	109
20	28	108
21	30	107
22	31	106
23	33	105
24	34	104
25	36	103
26	37	101
27	39	100
28	40	99
29	41	97
30	43	96
31	44	95
32	46	94
33	47	92
34	49	91
35	50	90
36	52	89
37	53	88
38	55	86
39	57	85
40	58	84
41	59	81
42	60	80
43	62	79
44	63	77
45	64	76
46	66	74
47	67	73
48	69	71
49	70	70
50	72	69
51	74	68
52	75	67
53	77	65
54	78	63
55	79	62
56	81	61
57	83	60
58	84	58
59	86	57
60	88	56
61	89	55
62	91	53
63	92	52
64	94	50
65	96	49
66	97	48
67	99	46
68	100	45
69	101	43
70	103	42
71	104	40
72	105	39
73	107	37
74	109	36
75	110	34
76	112	33
77	113	31
78	115	30
79	116	29
80	117	27
81	119	26
82	120	24
83	121	23
84	122	21
85	124	20
86	125	18
87	127	17
88	128	15
89	129	14
90	131	12
91	132	11
92	134	10
93	135	8
94	137	7
95	138	5
96	139	4
97	141	2
98	142	1
99	144	0
