iter	Passed	Remaining
0	153	153715
1	155	77583
2	157	52201
3	158	39482
4	159	31806
5	160	26665
6	161	22980
7	163	20223
8	164	18076
9	165	16353
10	166	14938
11	167	13775
12	168	12788
13	169	11939
14	170	11212
15	172	10612
16	174	10066
17	175	9554
18	176	9097
19	177	8687
20	178	8317
21	179	7981
22	180	7676
23	181	7394
24	183	7149
25	184	6919
26	186	6707
27	187	6501
28	188	6314
29	189	6132
30	190	5961
31	191	5802
32	192	5654
33	194	5516
34	195	5387
35	197	5278
36	198	5159
37	199	5051
38	201	4954
39	202	4863
40	204	4773
41	205	4687
42	207	4607
43	208	4526
44	210	4464
45	211	4394
46	213	4329
47	215	4268
48	216	4207
49	218	4147
50	219	4090
51	221	4031
52	222	3979
53	224	3940
54	226	3891
55	228	3845
56	229	3800
57	231	3756
58	232	3711
59	234	3667
60	235	3625
61	236	3583
62	238	3554
63	241	3529
64	243	3497
65	245	3467
66	246	3433
67	248	3402
68	249	3370
69	251	3338
70	253	3318
71	255	3298
72	257	3269
73	258	3239
74	260	3209
75	261	3180
76	263	3155
77	264	3129
78	266	3102
79	268	3083
80	270	3063
81	271	3044
82	272	3015
83	274	2996
84	276	2979
85	278	2961
86	280	2941
87	282	2930
88	284	2913
89	286	2899
90	288	2879
91	290	2865
92	291	2847
93	293	2829
94	295	2811
95	297	2803
96	300	2794
97	302	2780
98	303	2765
99	305	2751
100	307	2736
101	309	2721
102	310	2706
103	312	2695
104	315	2685
105	316	2673
106	318	2661
107	320	2647
108	322	2636
109	324	2622
110	326	2617
111	328	2604
112	330	2593
113	332	2586
114	334	2574
115	336	2563
116	337	2548
117	339	2536
118	341	2527
119	343	2516
120	345	2508
121	347	2497
122	348	2487
123	350	2476
124	352	2466
125	355	2462
126	356	2450
127	358	2443
128	360	2436
129	362	2427
130	364	2417
131	366	2408
132	368	2399
133	370	2391
134	372	2383
135	375	2383
136	377	2375
137	379	2369
138	381	2360
139	383	2354
140	386	2352
141	387	2342
142	390	2339
143	392	2331
144	393	2322
145	395	2315
146	397	2309
147	401	2311
148	403	2305
149	405	2299
150	407	2292
151	409	2285
152	411	2277
153	413	2272
154	416	2268
155	418	2261
156	419	2254
157	422	2249
158	423	2241
159	425	2234
160	426	2224
161	429	2221
162	432	2220
163	434	2214
164	436	2209
165	438	2203
166	440	2197
167	442	2190
168	444	2187
169	446	2182
170	449	2176
171	450	2170
172	452	2164
173	454	2158
174	456	2151
175	458	2145
176	459	2138
177	461	2132
178	463	2125
179	464	2117
180	466	2110
181	467	2103
182	469	2096
183	471	2089
184	472	2082
185	474	2074
186	475	2067
187	477	2061
188	478	2053
189	479	2046
190	481	2038
191	482	2030
192	484	2024
193	485	2017
194	487	2010
195	488	2003
196	489	1996
197	491	1989
198	492	1981
199	493	1975
200	495	1968
201	496	1961
202	498	1955
203	499	1948
204	500	1942
205	502	1937
206	503	1930
207	505	1924
208	506	1917
209	508	1911
210	509	1904
211	510	1897
212	511	1891
213	513	1885
214	514	1879
215	516	1872
216	517	1866
217	518	1860
218	519	1854
219	521	1848
220	522	1842
221	524	1836
222	525	1830
223	526	1825
224	528	1819
225	529	1814
226	531	1809
227	532	1804
228	534	1798
229	535	1792
230	536	1786
231	538	1781
232	539	1775
233	540	1770
234	542	1765
235	543	1759
236	544	1753
237	546	1748
238	547	1743
239	548	1737
240	550	1732
241	551	1727
242	553	1722
243	554	1717
244	555	1712
245	557	1707
246	558	1703
247	560	1698
248	561	1693
249	562	1688
250	564	1683
251	565	1678
252	566	1673
253	568	1669
254	569	1665
255	571	1661
256	573	1657
257	574	1652
258	576	1648
259	577	1644
260	579	1639
261	580	1635
262	582	1631
263	583	1627
264	585	1623
265	586	1618
266	588	1615
267	589	1610
268	591	1606
269	592	1602
270	594	1598
271	595	1594
272	597	1590
273	598	1586
274	600	1582
275	601	1578
276	603	1574
277	604	1570
278	605	1565
279	607	1561
280	608	1556
281	610	1553
282	611	1548
283	612	1544
284	613	1539
285	614	1535
286	616	1530
287	617	1525
288	618	1521
289	619	1517
290	620	1512
291	622	1508
292	623	1504
293	624	1499
294	625	1495
295	627	1491
296	628	1486
297	629	1482
298	630	1477
299	631	1472
300	632	1468
301	633	1464
302	634	1459
303	635	1455
304	636	1450
305	637	1446
306	638	1441
307	639	1437
308	641	1433
309	642	1429
310	643	1425
311	644	1420
312	645	1416
313	646	1411
314	647	1407
315	648	1403
316	649	1399
317	650	1395
318	651	1390
319	652	1387
320	654	1383
321	655	1379
322	656	1376
323	657	1371
324	658	1368
325	659	1364
326	660	1360
327	661	1356
328	662	1352
329	664	1348
330	665	1344
331	666	1340
332	667	1336
333	668	1332
334	669	1328
335	670	1324
336	671	1321
337	672	1317
338	673	1313
339	674	1309
340	675	1305
341	676	1302
342	677	1298
343	679	1295
344	680	1292
345	682	1289
346	683	1285
347	684	1282
348	686	1279
349	687	1276
350	688	1272
351	689	1269
352	690	1265
353	691	1262
354	692	1259
355	694	1255
356	695	1252
357	696	1249
358	697	1246
359	699	1242
360	700	1239
361	701	1236
362	702	1232
363	703	1229
364	704	1226
365	706	1223
366	707	1220
367	708	1217
368	710	1214
369	711	1211
370	713	1209
371	714	1206
372	716	1203
373	717	1201
374	719	1198
375	720	1195
376	722	1193
377	723	1191
378	725	1188
379	726	1186
380	728	1183
381	730	1181
382	731	1178
383	733	1176
384	734	1173
385	736	1171
386	738	1169
387	739	1167
388	741	1164
389	743	1162
390	745	1160
391	746	1158
392	748	1155
393	750	1153
394	752	1152
395	753	1150
396	755	1147
397	758	1146
398	760	1145
399	762	1143
400	764	1141
401	765	1139
402	767	1137
403	769	1135
404	771	1133
405	773	1131
406	774	1128
407	776	1126
408	777	1123
409	779	1121
410	781	1119
411	782	1117
412	784	1114
413	785	1112
414	787	1110
415	788	1107
416	790	1105
417	791	1102
418	793	1100
419	794	1097
420	796	1095
421	797	1092
422	799	1090
423	800	1087
424	802	1085
425	804	1083
426	805	1081
427	807	1078
428	808	1076
429	810	1074
430	811	1071
431	813	1069
432	814	1067
433	816	1064
434	818	1062
435	819	1060
436	821	1058
437	823	1056
438	824	1053
439	826	1051
440	827	1049
441	829	1047
442	831	1045
443	832	1042
444	834	1040
445	835	1038
446	837	1036
447	839	1034
448	840	1031
449	842	1029
450	844	1027
451	845	1025
452	847	1023
453	849	1021
454	851	1019
455	852	1017
456	854	1015
457	856	1013
458	857	1010
459	858	1008
460	860	1005
461	861	1003
462	863	1001
463	865	999
464	866	996
465	868	994
466	869	992
467	871	990
468	872	988
469	874	986
470	875	983
471	877	981
472	879	979
473	880	977
474	882	974
475	883	972
476	884	970
477	886	968
478	887	965
479	889	963
480	890	961
481	892	959
482	893	956
483	895	954
484	896	952
485	898	949
486	899	947
487	900	945
488	902	943
489	903	940
490	905	938
491	906	936
492	907	933
493	909	931
494	910	928
495	911	926
496	913	924
497	914	922
498	916	919
499	917	917
500	919	915
501	920	913
502	922	911
503	923	909
504	925	906
505	926	904
506	928	902
507	929	900
508	931	898
509	932	895
510	933	893
511	935	891
512	936	889
513	938	887
514	939	884
515	940	882
516	942	880
517	943	878
518	944	875
